id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,date_year
33235,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,54x21.5cm,,,1917-0985_wotm,1917-12-20,[Restaurant name and/or location not given],Dollars,$,under review,1,96,1917.0
33236,Louis Sherry,Louis Sherry,,,,26.5x15cm folded; 26.5x30cm open,,,1917-0986_wotm,1917-12-20,Louis Sherry,Dollars,$,under review,2,251,1917.0
33237,J.J. Lussier Commissary Contractor,J.J. Lussier Commissary Contractor,,,,21.5x16cm,,,1917-0987_wotm,1917-12-20,J.J. Lussier Commissary Contractor,,,complete,3,29,1917.0
33238,Pennsylvania Railroad,Pennsylvania Railroad,,,,26.5x15.5cm,,,1917-0988_wotm,1917-12-20,Pennsylvania Railroad,Dollars,$,under review,2,194,1917.0
33239,Waldorf Astoria,Waldorf Astoria,,,,23x18cm folded; 23x36cm open,,,1917-0989_wotm,1917-12-20,Waldorf Astoria,Dollars,$,under review,4,176,1917.0
33240,Healy's Forty-second Street Restaurant,Healy's Forty-second Street Restaurant,,,,33x18.5cm,,,1917-0990_wotm,1917-12-20,Healy's Forty-second Street Restaurant,Dollars,$,under review,2,256,1917.0
33241,Healy's Forty-second Street Restaurant,Healy's Forty-second Street Restaurant,,,,33x18.5cm,,,1917-0991_wotm,1917-12-20,Healy's Forty-second Street Restaurant,Dollars,$,complete,2,75,1917.0
33242,Wm. F. Healy's 42nd St. Grill,Wm. F. Healy's 42nd St. Grill,,,,20x13cm,,,1917-0992_wotm,1917-12-20,Wm. F. Healy's 42nd St. Grill,,,under review,1,21,1917.0
33243,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,28x17.5cm,,,1917-0993_wotm,1917-12-20,[Restaurant name and/or location not given],Dollars,$,under review,1,62,1917.0
33244,The Biltmore,The Biltmore,,,,28x18cm folded; 28x36cm open,,,1917-0994_wotm,1917-12-20,The Biltmore,Dollars,$,complete,4,32,1917.0
33245,Hotel Manhattan,Hotel Manhattan,,,,28x18cm folded; 28x36cm open,,,1917-0995_wotm,1917-12-20,Hotel Manhattan,Dollars,$,complete,4,174,1917.0
33246,J.J. Lussier Commissary Contractor,J.J. Lussier Commissary Contractor,,,,21.5x16cm,,,1917-0996_wotm,1917-12-19,J.J. Lussier Commissary Contractor,,,complete,3,27,1917.0
33247,Pennsylvania Railroad,Pennsylvania Railroad,,,,21.5x13.5cm,,,1917-0997_wotm,1917-12-19,Pennsylvania Railroad,Dollars,$,under review,1,61,1917.0
33248,Pennsylvania Railroad,Pennsylvania Railroad,,,,21.5x13.5cm,,,1917-0998_wotm,1917-12-19,Pennsylvania Railroad,Dollars,$,complete,1,55,1917.0
33249,Fifth Avenue Restaurant,Fifth Avenue Restaurant,,,,25.5x15cm,,,1917-0999_wotm,1917-12-19,Fifth Avenue Restaurant,Dollars,$,complete,1,79,1917.0
